timestamp,day,side,qty,price_open,price_exec,commission,slippage_cost,shares_after,cash_after
2024-04-04 18:30:00+00:00,2024-04-04,SELL,-742,518.0,518.0,2.597,-0.0,-742,483440.3099999996
2024-04-05 14:00:00+00:00,2024-04-05,BUY,1401,515.92,515.92,4.9035,0.0,659,-239368.51350000032
2024-04-09 14:30:00+00:00,2024-04-09,SELL,-1322,517.59,517.59,4.627,-0.0,-663,444880.83949999977
2024-04-09 16:30:00+00:00,2024-04-09,BUY,663,517.26,517.26,2.3205,0.0,0,101935.13899999976
2024-04-09 17:00:00+00:00,2024-04-09,SELL,-663,516.8,516.8,2.3205,-0.0,-663,444571.2184999998
2024-04-09 17:30:00+00:00,2024-04-09,BUY,663,517.17,517.17,2.3205,0.0,0,101685.18799999982
2024-04-09 18:00:00+00:00,2024-04-09,SELL,-663,516.67,516.67,2.3205,-0.0,-663,444235.07749999984
2024-04-09 19:30:00+00:00,2024-04-09,BUY,663,518.51,518.51,2.3205,0.0,0,100460.62699999983
2024-04-11 14:30:00+00:00,2024-04-11,SELL,-609,512.57,512.57,2.1315,-0.0,-609,412613.62549999985
2024-04-11 15:00:00+00:00,2024-04-11,BUY,609,513.23,513.23,2.1315,0.0,0,100054.42399999984
2024-04-11 17:30:00+00:00,2024-04-11,BUY,609,517.52,517.52,2.1315,0.0,609,-215117.38750000016
2024-04-12 15:00:00+00:00,2024-04-12,SELL,-1225,512.31,512.31,4.2875000000000005,-0.0,-616,412458.0749999997
2024-04-12 15:30:00+00:00,2024-04-12,BUY,616,513.53,513.53,2.156,0.0,0,96121.43899999974
2024-04-12 16:30:00+00:00,2024-04-12,SELL,-616,511.8,511.8,2.156,-0.0,-616,411388.0829999997
2024-04-15 17:30:00+00:00,2024-04-15,BUY,84,506.58,506.58,0.35,0.0,-532,368835.0129999997
2024-04-17 16:30:00+00:00,2024-04-17,BUY,13,500.48,500.48,0.35,0.0,-519,362328.4229999997
2024-04-17 17:30:00+00:00,2024-04-17,BUY,519,501.8,501.8,1.8165,0.0,0,101892.4064999997
2024-04-19 16:00:00+00:00,2024-04-19,SELL,-562,497.09,497.09,1.967,-0.0,-562,381255.01949999965
2024-04-19 18:00:00+00:00,2024-04-19,BUY,562,497.29,497.29,1.967,0.0,0,101776.0724999996
2024-04-19 18:30:00+00:00,2024-04-19,SELL,-562,495.46,495.46,1.967,-0.0,-562,380222.62549999956
2024-04-22 18:00:00+00:00,2024-04-22,BUY,1116,501.43,501.43,3.906,0.0,554,-179377.16050000043
2024-04-22 19:30:00+00:00,2024-04-22,SELL,-554,500.58,500.58,1.939,-0.0,0,97942.22049999957
